SEL2	411 VAR CTRL			Date: 06/01	/2015   Tim	e: 20:11:56							
BIG	BLUE 161KV												
													
#	DATE	TIME	VA_MAG	VB_MAG	VC_MAG	MV10	SC01	SC02	P	Q	PF	MV32	MV27
1438	5/27/2015	20:25:01	92521	92692.828	92910.523	1800	0	0	3023.542	1702.944	0.871	0	0
1437	5/27/2015	20:30:11	93360.883	93487.047	93290.672	1550	0	1	3764.79	7768.925	0.436	0	0
1436	5/27/2015	20:35:01	92990.805	93024.258	93366.906	1800	0	0	3268.209	7511.214	0.399	0	0
1435	5/27/2015	20:40:01	92875.258	93193.5	92965.867	1300	0	2	2539.133	6088.371	0.385	0	0
1434	5/27/2015	20:45:01	92897.641	93115.68	93349.492	1050	0	3	3506.563	7395.281	0.428	0	0
1433	5/27/2015	20:50:01	92985.266	93249.906	93485.906	-3700	0	22	4288.715	8556.722	0.448	0	0
1432	5/27/2015	20:55:01	93716.07	93764.891	93676.031	-450	0	9	3753.481	8161.703	0.418	0	0
1431	5/27/2015	21:00:01	93943.484	94192.273	93956.008	-1700	0	14	4803.511	9176.825	0.464	0	0
1430	5/27/2015	21:05:11	93580.047	93809.172	93617.562	1800	0	0	1726.984	5719.745	0.289	0	0
1429	5/27/2015	21:10:01	93478.758	93829.961	93685.641	1800	0	0	1927.281	5922.476	0.309	0	0
1428	5/27/2015	21:15:01	93569.344	93860.5	94103.531	1800	0	0	2830.815	7167.867	0.367	0	0
1427	5/27/2015	21:20:01	93605.75	93615.266	93943.984	1800	0	0	2066.539	6400.942	0.307	0	0
1426	5/27/2015	21:25:01	93661.656	93643.906	93755.477	1800	0	0	2511.219	6506.364	0.36	0	0
1425	5/27/2015	21:30:01	93735.359	93618.734	93944.594	1800	0	0	2375.095	6443.097	0.346	0	0
1424	5/27/2015	21:35:01	93509.547	93949.422	93967.273	1800	0	0	2473.763	6524.594	0.355	0	0
1423	5/27/2015	21:40:01	93682.375	93647.531	93968.297	1800	0	0	2885.571	6813.966	0.39	0	0
1422	5/27/2015	21:45:01	93479.547	93769.578	94007.977	1800	0	0	2351.355	5926.579	0.369	0	0
1421	5/27/2015	21:50:01	93577.008	93926.156	94018.633	1800	0	0	2617.142	6460.164	0.375	0	0
1420	5/27/2015	21:55:01	93418.984	93557.766	93920.797	1800	0	0	1377.898	4856.313	0.273	0	0
1419	5/27/2015	22:00:11	93462.344	93610.016	93936.312	1800	0	0	1809.796	5882.171	0.294	0	0
1418	5/27/2015	22:05:01	93456.891	93800.961	93550.711	1800	0	0	1084.364	4821.166	0.219	0	0
1417	5/27/2015	22:10:01	93540.812	94011.422	93839.031	1800	0	0	1780.924	5794.07	0.294	0	0
1416	5/27/2015	22:15:01	93695.078	93653.352	93955.922	1800	0	0	1477.482	5106.542	0.278	0	0
1415	5/27/2015	22:20:01	93698.578	93799.125	94095.023	1800	0	0	2191.072	5977.877	0.344	0	0
1414	5/27/2015	22:25:11	93854.703	93921.156	93793.961	1800	0	0	1716.21	5355.36	0.305	0	0
1413	5/27/2015	22:30:01	93574.406	93711.977	94063.336	1800	0	0	967.218	4341.322	0.217	0	0
1412	5/27/2015	22:35:01	93551.617	93617.383	93927.031	1800	0	0	599.216	3847.719	0.154	0	0
1411	5/27/2015	22:40:01	93692.977	93630.531	93689.125	1800	0	0	619.469	4001.766	0.153	0	0
1410	5/27/2015	22:45:01	93576.367	93925.484	93681.648	1800	0	0	717.593	4275.002	0.166	0	0
1409	5/27/2015	22:50:01	93614.828	93580.703	93690.461	1800	0	0	327.747	3706.046	0.088	0	0
1408	5/27/2015	22:55:01	93375.547	93895.187	93841.57	1800	0	0	531.524	3814.192	0.138	0	0
1407	5/27/2015	23:00:01	93534.258	93636.219	93997.609	1800	0	0	376.958	3608.969	0.104	0	0
1406	5/27/2015	23:05:01	93162.953	93614.852	93458.477	1800	0	0	-76.558	2749.163	-0.028	0	0
1405	5/27/2015	23:10:01	93213.297	93669	93666.43	1800	0	0	-39.901	3393.018	-0.012	0	0
1404	5/27/2015	23:15:01	93421.352	93647.945	93938.789	1800	0	0	-70.163	3104.636	-0.023	0	0
1403	5/27/2015	23:20:01	93444.258	93701.453	93982.914	1800	0	0	11.476	3106.176	0.004	0	0
1402	5/27/2015	23:25:01	93634.148	93622.68	93638.937	1800	0	0	19.881	2948.472	0.007	0	0
1401	5/27/2015	23:30:01	93443.008	93712.539	94052.547	1800	0	0	-118.774	3105.731	-0.038	0	0
1400	5/27/2015	23:35:01	93509.562	94006.359	93833.5	1800	0	0	-150.629	2939.274	-0.051	0	0
1399	5/27/2015	23:40:01	93835.461	94239.836	93962.812	1800	0	0	187.494	3497.359	0.054	0	0
1398	5/27/2015	23:45:01	93810.742	94212.469	93989.008	1800	0	0	-273.982	3044.725	-0.09	0	0
1397	5/27/2015	23:50:01	93832.187	94016.273	94302.125	1800	0	0	-177.571	3068.888	-0.058	0	0
1396	5/27/2015	23:55:02	93919.797	94299.875	94071.766	1800	0	0	-271.426	2607.829	-0.104	0	0
1395	5/28/2015	0:00:01	94108.516	94021.703	94116.25	1800	0	0	-357.897	2847.903	-0.125	0	0
1394	5/28/2015	0:05:01	93642.117	93976.453	94190.445	1800	0	0	-333.842	2946.258	-0.113	0	0
1393	5/28/2015	0:10:02	94012.656	94023.469	94032.273	1800	0	0	-259.535	2895.031	-0.089	0	0
1392	5/28/2015	0:15:01	93831.07	94108.344	94371.539	1800	0	0	-211.37	3251.267	-0.065	0	0
1391	5/28/2015	0:20:01	93979.437	93861.969	94072.305	1800	0	0	-510	3052.242	-0.165	0	0
1390	5/28/2015	0:25:01	93782.789	93890.984	93874.109	1800	0	0	-107.482	2718.569	-0.04	0	0
1389	5/28/2015	0:30:02	93538.75	93925.82	94135.586	1800	0	0	-139.889	2913.843	-0.048	0	0
1388	5/28/2015	0:35:01	93718.344	94103.281	94185.672	1800	0	0	-179.835	2615.659	-0.069	0	0
1387	5/28/2015	0:40:01	93817.594	94260.789	94038.531	1800	0	0	-93.565	3423.892	-0.027	0	0
1386	5/28/2015	0:45:01	93734.062	94056.891	94338.664	1800	0	0	-216.028	3300.603	-0.065	0	0
1385	5/28/2015	0:50:01	93991.492	93950.898	94083.148	1800	0	0	-176.589	3334.857	-0.053	0	0
